BIOMASS CALCULATION RESULTS
Generated on: 2026-04-02 07:20:49
Total records: 2062

plot	year	growthplotnum	section	speccode	species	specabbrev	origin	tree status	tree number	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1198101PIP	2017	1	12	13	american beech	Sb 	N	L 	100	20.8	17.3	158.3	10.7	48.9	5.1	169.0	54.0	223.0
1198106PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	413	11.7	10.3	23.2	3.8	4.7	5.3	27.0	10.0	37.0
1232406PIP	2017	1	12	13	Black Spruce	Sb 	P	L 	76	6.2	7.7	4.7	0.9	1.2	2.2	5.6	3.4	9.0
1232406PIP	2017	1	12	20	20	Bf 	N	L 	81	5	4.8	2.6	0.5	0.4	1.2	3.1	1.7	4.7
1294301PIP	2016	1	12	2	Red Pine	Pr 	P	L 	59	14.2	8.9	37.2	4.4	4.9	5.1	41.5	10.0	51.6
1294301PIP	2016	1	12	3	Jack Pine	Pj 	P	L 	61	9.6	8.3	18.5	2.0	1.9	1.9	20.5	3.8	24.3
1204806PIP	2016	1	12	13	Black Spruce	Sb 	N	L 	81	9.5	8.8	13.7	2.4	3.0	4.0	16.1	7.0	23.1
1204806PIP	2016	1	12	13	Black Spruce	Sb 	N	L 	82	7.4	6.6	7.3	1.4	1.8	2.8	8.7	4.6	13.3
1197906PIP	2016	1	12	13	Black Spruce	Sb 	N	L 	59	17.7	14.5	65.6	9.6	11.1	9.6	75.2	20.7	95.9
1246006PIP	2016	1	12	3	Jack Pine	Pj 	N	L 	367	6.4	9.5	7.0	0.9	0.7	1.0	7.8	1.7	9.5
1273651PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	144	3	3.0	0.8	0.2	0.3	0.8	0.9	1.1	2.0
1273651PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	149	12.1	11.2	25.2	4.1	5.0	5.6	29.3	10.6	39.9
1273651PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	159	11.6	10.51	22.7	3.7	4.6	5.3	26.4	9.9	36.3
1273661PIP	2017	1	12	20	Balsam Fir	Bf 	N	L 	186	20.5	18.2	75.8	13.8	15.1	13.0	89.6	28.1	117.7
1273661PIP	2017	1	12	20	Balsam Fir	Bf 	N	L 	187	5.6	7.0	3.4	0.7	0.6	1.5	4.0	2.0	6.1
1280526PIP	2016	1	12	20	Balsam Fir	Bf 	N	L 	143	15.7	11.7	39.9	7.4	7.6	8.3	47.3	16.0	63.3
1287421PIP	2016	1	12	13	Black Spruce	Sb 	N	L 	13	23.6	17.1	135.2	18.4	20.2	14.4	153.6	34.6	188.2
1294286PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	147	12.3	9.9	26.3	4.3	5.2	5.7	30.5	10.9	41.4
1294286PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	149	10.3	7.6	16.8	2.9	3.6	4.5	19.7	8.0	27.7
1294286PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	156	15.7	11.8	48.5	7.4	8.6	8.1	55.9	16.7	72.6
1294286PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	159	6.4	7.2	5.1	1.0	1.3	2.3	6.1	3.6	9.7
1301161PIP	2016	1	12	13	Black Spruce	Sb 	N	L 	124	19.1	13.9	79.4	11.4	13.0	10.7	90.8	23.7	114.5
1308026PIP	2017	1	12	20	Balsam Fir	Bf 	N	L 	42	9.5	8.6	11.9	2.3	2.1	3.6	14.2	5.7	20.0
1314911PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	59	21.7	16.5	109.5	15.2	16.9	12.8	124.7	29.7	154.4
1314911PIP	2017	1	12	3	Jack Pine	Pj 	N	L 	61	23.7	17.7	162.3	12.9	16.5	9.3	175.2	25.8	201.0
1314911PIP	2017	1	12	20	Balsam Fir	Bf 	N	L 	65	3.6	4.1	1.2	0.2	0.2	0.7	1.4	0.9	2.3
1314921PIP	2017	1	12	13	Black Spruce	Sb 	N	L 	454	5	4.9	2.7	0.6	0.8	1.6	3.3	2.4	5.7
1314921PIP	2017	1	12	20	Balsam Fir	Bf 	N	L 	455	9.2	9.2	11.1	2.1	2.0	3.4	13.2	5.4	18.5
1314871PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	21	3.2	3.6	0.9	0.2	0.3	0.9	1.1	1.2	2.3
1259801PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	123	9.8	7.8	12.9	2.4	2.3	3.8	15.3	6.1	21.4
1280456PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	48	2.5	3.8	0.5	0.1	0.2	0.6	0.6	0.8	1.4
1273611PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	98	3.9	4.6	1.5	0.3	0.5	1.1	1.8	1.6	3.4
1280466PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	123	7.9	8.1	10.1	2.4	1.5	0.8	12.4	2.2	14.7
1280516PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	140	4.5	3.8	2.0	0.4	0.3	1.0	2.4	1.4	3.7
1259921PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	34	6.7	4.3	5.2	1.0	0.9	2.0	6.2	2.9	9.1
1218671PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	135	28.6	21.0	243.4	51.7	37.6	6.2	295.0	43.8	338.8
1253076PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	68	2.5	2.2	0.5	0.1	0.1	0.4	0.6	0.5	1.0
1239206PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	67	5	6.0	2.7	0.6	0.8	1.6	3.3	2.4	5.7
1239206PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	69	19.2	15.2	80.5	11.6	13.1	10.8	92.0	23.9	115.9
1252966PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	52	18.3	18.1	71.3	10.4	11.9	10.1	81.7	21.9	103.6
1211696PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	40	32.9	27.8	344.2	72.3	53.5	7.8	416.5	61.3	477.7
1232381PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	187	14.1	13.7	42.3	9.5	6.3	2.0	51.8	8.3	60.0
1170526PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	108	19	14.6	78.4	11.3	12.8	10.6	89.7	23.5	113.1
1184276PIP	2011	1	12	22	Eastern White Cedar	Cw 	N	L 	107	42.6	15.7	263.0	35.4	47.9	32.6	298.4	80.6	379.0
1204881PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	33	15.2	16.2	44.7	6.8	8.1	7.7	51.6	15.8	67.4
1252986PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	87	3	3.5	0.8	0.2	0.3	0.8	0.9	1.1	2.0
1266666PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	127	15.3	12.4	56.7	5.2	5.7	4.3	61.9	10.1	72.0
1301141PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	32	4.9	4.1	2.4	0.5	0.4	1.2	2.9	1.6	4.5
1211666PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	59	6.2	5.9	4.3	0.8	0.7	1.8	5.1	2.5	7.6
1170516PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	79	18.2	15.0	70.3	10.3	11.7	10.0	80.6	21.7	102.3
1191031PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	106	8.4	7.8	13.4	1.5	1.3	1.5	14.9	2.9	17.8
1314901PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	331	9.4	10.4	13.4	2.3	3.0	3.9	15.7	6.9	22.6
1307976PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	157	11.6	8.4	29.1	2.9	2.9	2.7	32.1	5.6	37.7
1287371PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	110	16.4	14.8	61.4	13.6	9.3	2.5	75.1	11.7	86.8
1266846PIP	2011	1	12	32	Red Maple	Mr 	N	L 	89	2.9	4.0	1.2	0.3	0.2	0.3	1.5	0.5	2.0
1239266PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	148	7.8	6.6	11.2	1.3	1.1	1.4	12.5	2.5	15.0
1239266PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	155	2.9	4.4	1.0	0.2	0.1	0.2	1.2	0.3	1.6
1246101PIP	2011	1	12	22	Eastern White Cedar	Cw 	N	L 	31	5.5	3.5	2.8	0.4	0.9	0.9	3.3	1.9	5.1
1246161PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	110	37.7	23.4	482.2	100.1	75.5	9.7	582.3	85.2	667.4
1280516PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	142	16.3	13.3	53.3	8.0	9.3	8.5	61.3	17.9	79.2
1259861PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	80	34.7	23.9	356.4	43.6	45.1	24.9	400.0	69.9	470.0
1246081PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	17	25.1	17.5	186.3	14.5	19.0	10.2	200.8	29.2	230.1
1232451PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	104	21.1	18.6	102.0	14.3	16.0	12.3	116.3	28.3	144.6
1218671PIP	2011	1	12	12	White Spruce	Sw 	N	L 	136	21.5	16.0	97.6	13.6	16.8	14.4	111.2	31.3	142.4
1218671PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	138	17	13.9	59.3	8.8	10.2	9.1	68.1	19.3	87.3
1253076PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	64	5	5.2	3.2	0.8	0.5	0.4	4.0	0.8	4.9
1252966PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	48	17.7	19.2	65.6	9.6	11.1	9.6	75.2	20.7	95.9
1232431PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	36	13.3	10.2	26.8	5.0	5.0	6.3	31.8	11.3	43.1
1218641PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	197	15.8	15.1	49.3	7.5	8.7	8.2	56.8	16.9	73.7
1218641PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	199	19.9	17.5	88.1	12.5	14.1	11.3	100.6	25.5	126.1
1211806PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	122	11.5	8.5	22.2	3.7	4.5	5.2	25.8	9.7	35.6
1177381PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	261	9.7	9.8	12.6	2.4	2.2	3.7	14.9	6.0	20.9
1197936PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	92	9.9	7.9	15.2	2.6	3.3	4.2	17.8	7.5	25.4
1197956PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	182	2.7	4.5	0.7	0.2	0.1	0.1	0.9	0.2	1.1
1225426PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	178	19.1	17.7	79.4	11.4	13.0	10.7	90.8	23.7	114.5
1177391PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	117	12.2	11.6	29.5	6.7	4.4	1.5	36.3	5.9	42.2
1211676PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	28	4.9	4.5	2.4	0.5	0.4	1.2	2.9	1.6	4.5
1197976PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	156	12.4	11.24	26.8	4.3	5.3	5.8	31.1	11.1	42.2
1197896PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	56	13.4	11.6	32.6	5.2	6.2	6.5	37.7	12.7	50.4
1197896PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	58	25.9	18.1	170.8	22.6	24.5	16.4	193.4	40.9	234.4
1259871PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	10	6.1	6.3	4.5	0.9	1.2	2.1	5.4	3.3	8.7
1197996PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	58	18.2	14.0	70.3	10.3	11.7	10.0	80.6	21.7	102.3
1204881PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	32	7.4	4.8	6.6	1.3	1.1	2.4	7.8	3.5	11.3
1197886PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	57	20.1	16.6	109.2	9.2	11.1	7.0	118.4	18.1	136.5
1301121PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	42	2.5	3.3	0.7	0.1	0.1	0.2	0.9	0.3	1.1
1335526PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	57	26.9	21.4	209.1	44.6	32.2	5.6	253.7	37.8	291.5
1335546PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	29	18.7	18.1	91.8	7.9	9.3	6.2	99.7	15.5	115.2
1259841PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	49	14.3	16.6	48.2	4.5	4.9	3.9	52.7	8.7	61.5
1266846PIP	2011	1	12	32	Red Maple	Mr 	N	L 	88	15.5	11.1	62.7	8.9	15.9	3.3	71.6	19.2	90.8
1301071PIP	2011	1	12	12	White Spruce	Sw 	N	L 	101	3.5	4.1	0.9	0.2	0.4	1.0	1.1	1.4	2.5
1266726PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	101	15.7	9.3	60.3	5.5	6.1	4.5	65.8	10.7	76.5
1246171PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	35	2.9	3.6	0.8	0.2	0.1	0.1	1.1	0.3	1.3
1246171PIP	2011	1	12	74	Trembling Aspen	Pt 	N	L 	36	3.3	4.0	1.2	0.3	0.2	0.2	1.5	0.3	1.8
1239206PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	75	17.8	14.2	66.5	9.8	11.2	9.7	76.3	20.9	97.2
1253026PIP	2011	1	12	22	Eastern White Cedar	Cw 	N	L 	140	18.1	7.2	39.6	5.7	9.1	7.4	45.3	16.6	61.8
1246121PIP	2011	1	12	12	White Spruce	Sw 	N	L 	22	22.1	16.7	104.8	14.4	17.8	15.0	119.2	32.9	152.1
1232361PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	38	19.6	15.5	84.8	12.1	13.7	11.1	96.9	24.8	121.7
1204921PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	30	2.6	2.8	0.5	0.1	0.2	0.6	0.7	0.8	1.5
1225466PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	5	6.6	4.4	7.5	0.9	0.8	1.0	8.4	1.8	10.2
1218641PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	204	18.4	16.6	72.3	10.5	12.0	10.1	82.8	22.2	105.0
1197946PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	84	11.1	10.0	20.3	3.4	4.2	5.0	23.7	9.2	32.8
1197946PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	85	6.5	6.7	5.3	1.0	1.4	2.3	6.3	3.7	10.0
1197946PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	86	11.3	10.0	21.2	3.5	4.4	5.1	24.7	9.4	34.2
1218621PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	45	7.3	5.0	7.1	1.3	1.8	2.7	8.4	4.5	12.9
1218621PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	46	2.5	2.6	0.5	0.1	0.2	0.6	0.6	0.8	1.4
1177381PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	232	20.4	14.2	93.7	13.2	14.9	11.7	107.0	26.6	133.6
1170526PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	113	12.8	11.5	29.0	4.7	5.6	6.1	33.7	11.7	45.4
1170526PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	117	16.7	14.5	56.7	8.5	9.8	8.8	65.1	18.7	83.8
1204791PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	363	4.7	3.8	2.3	0.5	0.7	1.5	2.8	2.2	5.0
1204781PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	117	12.3	10.6	26.3	4.3	5.2	5.7	30.5	10.9	41.4
1184276PIP	2011	1	12	20	Balsam Fir	Bf 	N	L 	99	5.2	5.9	2.8	0.6	0.5	1.3	3.4	1.8	5.1
1191071PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	54	11.6	12.9	22.7	3.7	4.6	5.3	26.4	9.9	36.3
1314861PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	22	8.3	7.4	9.8	1.8	2.3	3.3	11.5	5.6	17.1
1314861PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	23	4.9	5.1	2.6	0.5	0.8	1.6	3.1	2.3	5.5
1259871PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	11	5.3	5.6	3.2	0.6	0.9	1.7	3.8	2.6	6.4
1259871PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	13	5.6	5.8	3.6	0.7	1.0	1.9	4.4	2.9	7.3
1259871PIP	2011	1	12	13	Black Spruce	Sb 	N	L 	14	7.6	7.1	7.8	1.4	1.9	2.9	9.3	4.8	14.1
1252916PIP	2011	1	12	3	Jack Pine	Pj 	N	L 	39	22.3	20.5	140.2	11.4	14.3	8.3	151.6	22.6	174.2
